"ID","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","subscribed"
9868,36,"blue-collar","married","secondary","no",342,"yes","no","cellular",18,"nov",305,1,-1,0,"unknown","no"
9869,29,"blue-collar","married","primary","no",220,"yes","no","unknown",4,"jun",187,2,-1,0,"unknown","no"
9870,54,"management","married","tertiary","no",397,"yes","no","cellular",11,"may",102,1,-1,0,"unknown","no"
9871,54,"self-employed","married","unknown","no",204,"no","no","cellular",27,"aug",231,5,-1,0,"unknown","no"
9872,45,"technician","married","secondary","no",2128,"no","yes","cellular",20,"nov",48,3,-1,0,"unknown","no"
9873,33,"admin.","married","tertiary","no",99,"yes","yes","cellular",18,"nov",55,2,-1,0,"unknown","no"
9874,36,"unemployed","married","secondary","no",608,"yes","no","cellular",2,"feb",114,1,263,3,"other","no"
9875,26,"technician","single","secondary","no",150,"yes","no","unknown",28,"may",216,1,-1,0,"unknown","no"
9876,46,"unknown","married","secondary","no",1482,"no","no","cellular",19,"aug",139,3,-1,0,"unknown","no"
9877,43,"services","married","secondary","no",354,"yes","no","telephone",4,"feb",49,2,-1,0,"unknown","no"
9878,25,"services","single","secondary","no",216,"yes","no","cellular",14,"may",175,3,-1,0,"unknown","no"
9879,33,"blue-collar","married","secondary","no",-63,"yes","no","cellular",15,"may",126,2,350,1,"failure","no"
9880,32,"entrepreneur","single","tertiary","no",59649,"no","no","cellular",1,"sep",69,2,-1,0,"unknown","no"
9881,32,"management","single","tertiary","no",1756,"yes","no","unknown",21,"may",206,3,-1,0,"unknown","no"
9882,32,"blue-collar","married","secondary","no",5164,"no","no","cellular",21,"nov",253,1,-1,0,"unknown","no"
9883,30,"blue-collar","married","secondary","no",393,"yes","no","cellular",17,"apr",1034,2,-1,0,"unknown","no"
9884,30,"management","single","tertiary","no",2876,"no","no","cellular",6,"aug",103,4,-1,0,"unknown","no"
9885,45,"technician","married","secondary","no",1998,"no","no","cellular",4,"may",237,5,-1,0,"unknown","yes"
9886,30,"technician","married","tertiary","no",3192,"yes","no","cellular",5,"mar",172,2,-1,0,"unknown","no"
9887,49,"blue-collar","married","primary","no",953,"yes","no","unknown",14,"may",278,2,-1,0,"unknown","no"
9888,51,"unemployed","divorced","secondary","no",370,"no","no","unknown",9,"may",167,1,-1,0,"unknown","no"
9889,47,"blue-collar","married","secondary","no",125,"no","no","cellular",8,"jul",210,2,-1,0,"unknown","no"
9890,50,"blue-collar","divorced","primary","no",31,"yes","no","unknown",9,"may",237,3,-1,0,"unknown","no"
9891,32,"blue-collar","married","primary","no",388,"yes","no","cellular",15,"apr",171,2,-1,0,"unknown","no"
9892,44,"management","single","tertiary","no",295,"yes","no","unknown",12,"may",103,8,-1,0,"unknown","no"
9893,36,"technician","single","secondary","no",0,"no","no","cellular",28,"aug",8,13,-1,0,"unknown","no"
9894,34,"management","married","tertiary","no",557,"yes","no","cellular",16,"jul",513,1,-1,0,"unknown","no"
9895,55,"blue-collar","married","primary","no",1086,"yes","no","cellular",7,"aug",148,2,-1,0,"unknown","no"
9896,31,"management","single","tertiary","no",630,"no","no","cellular",2,"feb",70,2,-1,0,"unknown","no"
9897,35,"management","married","tertiary","no",1212,"yes","no","cellular",14,"may",235,1,352,1,"other","no"
9898,36,"self-employed","married","tertiary","no",328,"yes","yes","cellular",23,"jul",136,1,-1,0,"unknown","no"
9899,35,"admin.","single","secondary","no",0,"yes","no","cellular",13,"may",1073,1,-1,0,"unknown","yes"
9900,35,"unemployed","married","secondary","no",547,"yes","no","cellular",6,"feb",527,2,-1,0,"unknown","no"
9901,49,"management","married","secondary","no",6758,"yes","yes","unknown",27,"may",67,3,-1,0,"unknown","no"
9902,42,"unemployed","single","secondary","no",714,"no","no","cellular",31,"jul",145,4,-1,0,"unknown","no"
9903,27,"management","single","tertiary","no",6791,"no","no","telephone",22,"mar",174,2,229,28,"success","no"
9904,60,"blue-collar","married","secondary","no",1130,"no","no","cellular",14,"jul",64,2,-1,0,"unknown","no"
9905,48,"management","married","tertiary","no",190,"no","no","cellular",25,"aug",14,22,-1,0,"unknown","no"
9906,50,"blue-collar","married","primary","no",-98,"no","yes","cellular",8,"aug",550,2,-1,0,"unknown","no"
9907,76,"retired","married","primary","no",163,"no","no","telephone",13,"oct",120,1,-1,0,"unknown","no"
9908,51,"self-employed","divorced","secondary","no",154,"yes","no","unknown",15,"may",285,1,-1,0,"unknown","no"
9909,27,"management","single","tertiary","no",703,"yes","no","unknown",5,"jun",590,3,-1,0,"unknown","yes"
9910,60,"admin.","married","unknown","no",2667,"yes","no","unknown",15,"may",140,1,-1,0,"unknown","no"
9911,37,"blue-collar","married","secondary","no",949,"yes","no","cellular",15,"may",302,1,-1,0,"unknown","no"
9912,37,"technician","married","secondary","no",318,"no","no","cellular",7,"aug",83,1,95,4,"other","no"
9913,34,"blue-collar","married","unknown","no",391,"yes","yes","unknown",23,"may",34,2,-1,0,"unknown","no"
9914,39,"management","married","tertiary","no",-124,"no","yes","cellular",22,"jul",182,1,-1,0,"unknown","no"
9915,51,"services","married","secondary","no",5699,"yes","no","cellular",30,"jan",436,1,270,2,"failure","no"
9916,62,"management","married","tertiary","no",0,"yes","yes","cellular",4,"jun",106,1,64,3,"failure","no"
9917,58,"retired","married","secondary","no",987,"yes","no","unknown",30,"may",555,1,-1,0,"unknown","no"
9918,32,"blue-collar","married","secondary","no",257,"yes","yes","cellular",29,"jan",74,1,239,1,"other","no"
9919,46,"management","married","secondary","no",21,"yes","no","cellular",7,"may",124,1,338,2,"failure","no"
9920,24,"technician","single","secondary","no",987,"no","yes","cellular",17,"jun",208,4,-1,0,"unknown","no"
9921,44,"entrepreneur","married","secondary","no",887,"yes","no","cellular",3,"apr",93,2,-1,0,"unknown","no"
9922,41,"admin.","single","secondary","no",242,"no","yes","cellular",9,"feb",116,3,-1,0,"unknown","no"
9923,41,"blue-collar","married","primary","no",-692,"yes","no","cellular",16,"apr",370,3,282,2,"failure","no"
9924,44,"services","married","secondary","no",-395,"yes","no","cellular",5,"may",894,1,-1,0,"unknown","yes"
9925,35,"services","single","secondary","no",1227,"yes","yes","unknown",28,"may",283,3,-1,0,"unknown","no"
9926,34,"management","married","tertiary","no",1725,"yes","yes","cellular",28,"jul",164,7,-1,0,"unknown","no"
9927,30,"self-employed","married","tertiary","no",1596,"yes","no","cellular",19,"aug",195,2,-1,0,"unknown","no"
9928,38,"technician","married","secondary","no",0,"yes","no","unknown",20,"jun",111,1,-1,0,"unknown","no"
9929,28,"admin.","single","secondary","no",551,"no","yes","cellular",8,"jul",161,1,-1,0,"unknown","no"
9930,37,"management","married","tertiary","no",984,"yes","no","cellular",18,"aug",180,4,-1,0,"unknown","no"
9931,44,"entrepreneur","married","secondary","no",320,"yes","yes","cellular",5,"feb",269,3,234,2,"other","no"
9932,34,"management","married","tertiary","no",1339,"no","no","cellular",20,"aug",255,8,-1,0,"unknown","no"
9933,51,"housemaid","married","secondary","no",1270,"no","no","cellular",29,"jan",208,3,-1,0,"unknown","no"
9934,29,"admin.","single","secondary","no",163,"yes","yes","unknown",16,"may",803,1,-1,0,"unknown","yes"
9935,32,"management","married","tertiary","no",944,"yes","yes","unknown",4,"jun",292,1,-1,0,"unknown","no"
9936,41,"admin.","divorced","secondary","no",4,"yes","no","cellular",5,"feb",232,1,211,1,"failure","no"
9937,32,"blue-collar","single","secondary","no",22,"no","no","cellular",7,"jul",280,1,-1,0,"unknown","no"
9938,36,"entrepreneur","married","primary","no",6317,"no","no","unknown",12,"jun",478,2,-1,0,"unknown","no"
9939,35,"technician","married","secondary","no",179,"no","yes","cellular",20,"aug",82,2,-1,0,"unknown","no"
9940,47,"self-employed","married","secondary","no",4420,"yes","yes","cellular",20,"nov",454,1,-1,0,"unknown","yes"
9941,36,"admin.","married","secondary","no",1588,"yes","no","cellular",7,"apr",103,1,-1,0,"unknown","no"
9942,47,"technician","married","secondary","no",0,"no","no","unknown",11,"nov",74,1,-1,0,"unknown","no"
9943,31,"blue-collar","married","primary","no",2929,"yes","no","cellular",20,"apr",237,3,150,3,"failure","no"
9944,30,"technician","married","tertiary","no",3418,"no","no","cellular",25,"aug",211,7,-1,0,"unknown","no"
9945,26,"technician","single","tertiary","no",777,"yes","no","cellular",14,"aug",260,2,463,1,"failure","no"
9946,40,"technician","married","secondary","no",203,"yes","no","cellular",24,"jul",328,1,-1,0,"unknown","no"
9947,48,"services","married","secondary","no",975,"yes","yes","cellular",15,"may",521,2,-1,0,"unknown","no"
9948,55,"entrepreneur","divorced","tertiary","no",461,"yes","yes","unknown",16,"jun",267,3,-1,0,"unknown","no"
9949,48,"services","single","secondary","no",561,"yes","no","cellular",12,"may",214,1,358,2,"other","no"
9950,47,"management","married","primary","no",1222,"yes","no","unknown",8,"may",28,3,-1,0,"unknown","no"
9951,31,"technician","single","secondary","no",2305,"no","no","cellular",4,"aug",139,1,-1,0,"unknown","no"
9952,54,"management","married","tertiary","no",284,"yes","yes","telephone",15,"may",65,5,-1,0,"unknown","no"
9953,54,"entrepreneur","married","unknown","no",1956,"no","no","cellular",19,"nov",221,5,-1,0,"unknown","no"
9954,34,"admin.","married","secondary","no",645,"yes","no","unknown",19,"may",420,1,-1,0,"unknown","no"
9955,33,"management","married","secondary","no",3132,"yes","no","unknown",23,"may",350,5,-1,0,"unknown","no"
9956,40,"housemaid","married","primary","no",0,"no","no","cellular",28,"aug",16,20,-1,0,"unknown","no"
9957,43,"blue-collar","married","secondary","no",620,"yes","no","cellular",13,"may",46,4,-1,0,"unknown","no"
9958,53,"admin.","single","secondary","no",545,"yes","no","cellular",12,"may",305,1,370,1,"failure","no"
9959,43,"management","divorced","tertiary","no",99,"no","no","cellular",29,"jan",24,3,-1,0,"unknown","no"
9960,29,"admin.","married","secondary","no",265,"yes","no","unknown",23,"may",329,2,-1,0,"unknown","no"
9961,52,"technician","married","secondary","no",141,"no","no","cellular",25,"aug",160,7,-1,0,"unknown","no"
9962,43,"blue-collar","married","primary","no",17,"yes","no","unknown",13,"may",119,10,-1,0,"unknown","no"
9963,51,"services","divorced","secondary","no",-245,"yes","yes","unknown",28,"may",612,2,-1,0,"unknown","no"
9964,49,"self-employed","married","tertiary","no",147,"no","yes","cellular",2,"feb",559,1,189,4,"failure","no"
9965,43,"self-employed","married","secondary","no",274,"no","no","cellular",14,"jul",335,4,-1,0,"unknown","no"
9966,28,"technician","divorced","tertiary","no",594,"yes","yes","unknown",18,"jun",54,3,-1,0,"unknown","no"
9967,48,"blue-collar","married","secondary","no",320,"yes","yes","cellular",4,"feb",118,1,-1,0,"unknown","no"
9968,41,"admin.","married","secondary","no",549,"yes","no","cellular",8,"may",326,4,-1,0,"unknown","no"
9969,46,"admin.","divorced","secondary","no",984,"yes","no","cellular",12,"may",181,4,369,5,"failure","no"
9970,31,"management","single","tertiary","no",3384,"no","no","cellular",22,"mar",247,3,187,3,"success","yes"
9971,59,"admin.","married","secondary","no",506,"yes","no","cellular",13,"may",281,1,-1,0,"unknown","no"
9972,51,"services","married","secondary","no",657,"no","no","cellular",3,"apr",66,2,-1,0,"unknown","no"
9973,32,"blue-collar","single","secondary","no",160,"yes","no","telephone",29,"jan",48,1,265,1,"failure","no"
9974,33,"services","single","secondary","no",239,"yes","no","cellular",15,"may",101,2,-1,0,"unknown","no"
9975,56,"retired","married","primary","no",152,"yes","yes","cellular",30,"jul",65,7,-1,0,"unknown","no"
9976,35,"blue-collar","married","primary","no",4319,"no","no","cellular",16,"apr",266,1,-1,0,"unknown","no"
9977,44,"management","married","primary","no",558,"no","no","cellular",19,"feb",268,5,-1,0,"unknown","yes"
9978,30,"unemployed","single","tertiary","no",1159,"no","no","telephone",5,"jun",366,1,-1,0,"unknown","yes"
9979,34,"management","single","tertiary","no",1012,"yes","yes","cellular",15,"may",109,3,-1,0,"unknown","no"
9980,30,"technician","single","tertiary","no",987,"no","no","cellular",9,"apr",98,6,-1,0,"unknown","no"
9981,54,"blue-collar","married","primary","no",781,"yes","no","unknown",9,"may",103,2,-1,0,"unknown","no"
9982,39,"management","married","tertiary","no",942,"yes","no","cellular",13,"may",564,2,265,4,"other","no"
9983,35,"technician","single","tertiary","no",1924,"yes","no","cellular",20,"apr",285,1,-1,0,"unknown","no"
9984,37,"services","single","primary","no",0,"no","yes","cellular",6,"feb",155,6,245,5,"other","no"
9985,62,"management","married","tertiary","no",557,"no","no","cellular",14,"aug",185,1,-1,0,"unknown","yes"
9986,47,"blue-collar","married","primary","no",1756,"yes","no","unknown",16,"may",207,1,-1,0,"unknown","no"
9987,38,"management","single","tertiary","no",-119,"yes","no","cellular",14,"may",185,1,-1,0,"unknown","no"
9988,34,"technician","single","secondary","no",2660,"yes","no","cellular",15,"apr",158,2,329,1,"failure","no"
9989,75,"retired","divorced","primary","no",3881,"yes","no","cellular",4,"feb",136,3,-1,0,"unknown","yes"
9990,47,"blue-collar","married","secondary","no",232,"yes","yes","cellular",14,"aug",90,4,-1,0,"unknown","no"
9991,48,"student","single","unknown","no",1279,"no","no","telephone",20,"oct",2429,1,-1,0,"unknown","no"
9992,44,"entrepreneur","married","tertiary","no",1631,"yes","no","unknown",6,"may",346,2,-1,0,"unknown","no"
9993,43,"admin.","single","secondary","no",-247,"yes","yes","cellular",2,"feb",751,2,76,4,"failure","yes"
9994,40,"management","married","tertiary","no",0,"no","no","cellular",22,"aug",61,4,-1,0,"unknown","no"
9995,44,"admin.","married","secondary","no",32,"no","yes","unknown",16,"jun",241,3,-1,0,"unknown","no"
9996,44,"technician","married","secondary","no",1,"no","yes","unknown",2,"jul",108,3,-1,0,"unknown","no"
9997,37,"admin.","divorced","secondary","no",241,"yes","yes","cellular",30,"jul",55,25,-1,0,"unknown","no"
9998,47,"blue-collar","married","primary","no",881,"yes","no","cellular",14,"may",143,1,370,2,"failure","no"
9999,48,"blue-collar","married","primary","no",347,"no","no","cellular",19,"aug",199,3,-1,0,"unknown","no"
10000,40,"admin.","divorced","secondary","no",90,"yes","no","unknown",9,"jun",511,5,-1,0,"unknown","no"
10001,25,"management","single","tertiary","no",219,"no","no","cellular",4,"aug",576,1,96,1,"success","yes"
10002,58,"management","divorced","secondary","no",321,"no","yes","cellular",17,"nov",254,2,-1,0,"unknown","no"
10003,48,"management","married","secondary","no",3663,"yes","no","telephone",7,"may",25,5,169,1,"failure","no"
10004,57,"retired","married","primary","no",2927,"no","yes","telephone",30,"jul",78,5,-1,0,"unknown","no"
10005,34,"management","divorced","tertiary","no",94,"yes","no","cellular",7,"may",46,1,-1,0,"unknown","no"
10006,48,"management","married","unknown","no",7861,"no","no","cellular",20,"nov",380,1,-1,0,"unknown","no"
10007,46,"technician","married","tertiary","no",3941,"yes","no","cellular",19,"nov",499,1,-1,0,"unknown","no"
10008,34,"services","married","secondary","no",1005,"yes","no","cellular",15,"jul",274,3,-1,0,"unknown","no"
10009,57,"management","married","tertiary","no",1318,"no","no","cellular",14,"apr",142,2,-1,0,"unknown","no"
10010,35,"technician","married","secondary","no",482,"no","no","cellular",12,"aug",138,2,-1,0,"unknown","no"
10011,47,"technician","married","tertiary","no",4568,"no","no","unknown",9,"jun",100,1,-1,0,"unknown","no"
10012,32,"management","single","tertiary","no",4262,"yes","no","cellular",19,"nov",361,1,-1,0,"unknown","no"
10013,37,"admin.","married","tertiary","no",2693,"yes","no","cellular",8,"apr",261,1,-1,0,"unknown","no"
10014,31,"technician","married","secondary","no",7,"no","no","telephone",6,"aug",116,6,-1,0,"unknown","no"
10015,41,"management","married","tertiary","no",298,"no","no","cellular",4,"may",63,3,272,1,"other","no"
10016,47,"technician","divorced","secondary","no",22,"no","no","cellular",18,"may",17,6,-1,0,"unknown","no"
10017,54,"management","married","tertiary","no",2819,"no","no","cellular",7,"aug",123,3,-1,0,"unknown","no"
10018,35,"admin.","single","tertiary","no",2622,"no","no","cellular",15,"jul",374,5,-1,0,"unknown","no"
10019,26,"technician","married","tertiary","no",-385,"yes","no","cellular",28,"jul",163,3,-1,0,"unknown","no"
10020,34,"admin.","married","secondary","no",3487,"yes","no","unknown",2,"jun",464,1,-1,0,"unknown","no"
10021,31,"blue-collar","single","secondary","no",982,"yes","no","cellular",14,"may",182,1,-1,0,"unknown","no"
10022,28,"admin.","married","secondary","no",5,"yes","no","cellular",18,"jul",121,1,-1,0,"unknown","no"
10023,58,"blue-collar","married","primary","no",5788,"no","no","unknown",29,"may",130,2,-1,0,"unknown","no"
10024,47,"management","married","tertiary","no",5999,"yes","no","cellular",7,"aug",90,2,-1,0,"unknown","no"
10025,36,"blue-collar","single","tertiary","no",1346,"no","no","cellular",7,"jul",74,7,-1,0,"unknown","no"
10026,47,"technician","married","primary","no",145,"yes","no","unknown",7,"may",157,6,-1,0,"unknown","no"
10027,61,"retired","married","primary","no",8729,"no","no","cellular",30,"oct",480,1,-1,0,"unknown","yes"
10028,40,"services","divorced","secondary","no",131,"yes","no","cellular",14,"may",102,3,-1,0,"unknown","no"
10029,41,"technician","married","secondary","no",1043,"yes","yes","unknown",14,"may",225,1,-1,0,"unknown","no"
10030,35,"technician","married","secondary","no",-255,"yes","no","cellular",13,"may",196,3,265,2,"failure","no"
10031,44,"management","married","tertiary","no",1954,"no","no","cellular",2,"jun",294,1,-1,0,"unknown","yes"
10032,45,"technician","divorced","secondary","no",23,"yes","no","unknown",27,"may",62,4,-1,0,"unknown","no"
10033,52,"management","married","tertiary","no",31,"no","no","cellular",10,"mar",135,1,-1,0,"unknown","yes"
10034,25,"blue-collar","single","secondary","no",224,"no","yes","telephone",8,"jul",17,4,-1,0,"unknown","no"
10035,51,"retired","divorced","primary","no",43,"no","no","cellular",24,"jul",212,2,-1,0,"unknown","no"
10036,33,"self-employed","married","tertiary","no",215,"no","yes","cellular",22,"aug",286,2,-1,0,"unknown","no"
10037,59,"retired","divorced","tertiary","no",3444,"no","no","cellular",6,"feb",241,2,-1,0,"unknown","yes"
10038,29,"blue-collar","single","unknown","no",913,"yes","no","telephone",14,"may",188,1,352,2,"failure","no"
10039,46,"entrepreneur","married","secondary","no",757,"no","no","unknown",16,"jun",382,3,-1,0,"unknown","no"
10040,31,"blue-collar","divorced","secondary","no",387,"yes","no","unknown",12,"may",220,3,-1,0,"unknown","no"
10041,36,"services","married","secondary","no",24,"yes","yes","unknown",11,"jun",100,5,-1,0,"unknown","no"
10042,32,"self-employed","single","secondary","no",518,"yes","no","cellular",18,"may",34,7,-1,0,"unknown","no"
10043,30,"technician","married","secondary","no",455,"yes","no","cellular",21,"nov",758,1,-1,0,"unknown","yes"
10044,34,"services","divorced","secondary","no",380,"yes","yes","cellular",25,"jul",102,2,-1,0,"unknown","no"
10045,44,"management","married","tertiary","no",5581,"no","no","cellular",8,"aug",202,2,-1,0,"unknown","no"
10046,52,"management","single","tertiary","no",1727,"no","no","cellular",21,"nov",337,1,-1,0,"unknown","no"
10047,56,"housemaid","married","tertiary","no",1922,"yes","no","cellular",24,"jul",247,2,-1,0,"unknown","no"
10048,36,"management","married","tertiary","no",287,"yes","yes","cellular",15,"jul",119,5,-1,0,"unknown","no"
10049,46,"management","married","tertiary","no",460,"no","no","cellular",28,"jan",56,1,-1,0,"unknown","no"
10050,51,"self-employed","married","secondary","yes",-206,"no","yes","cellular",28,"jul",51,3,-1,0,"unknown","no"
10051,28,"admin.","single","tertiary","no",313,"no","yes","cellular",23,"sep",124,1,59,6,"failure","no"
10052,53,"management","divorced","tertiary","no",6649,"yes","no","cellular",31,"aug",106,1,55,1,"failure","no"
10053,52,"self-employed","single","secondary","no",207,"no","yes","cellular",18,"nov",179,1,-1,0,"unknown","no"
10054,23,"student","married","tertiary","yes",-230,"yes","no","cellular",18,"may",259,2,-1,0,"unknown","no"
10055,37,"technician","married","tertiary","no",88,"no","no","cellular",6,"may",195,1,90,3,"other","yes"
10056,54,"management","divorced","tertiary","no",487,"yes","no","unknown",21,"may",828,4,-1,0,"unknown","yes"
10057,35,"technician","single","secondary","no",353,"yes","no","cellular",20,"apr",8,3,-1,0,"unknown","no"
10058,35,"blue-collar","single","primary","no",1277,"yes","no","cellular",20,"apr",143,4,-1,0,"unknown","no"
10059,47,"technician","divorced","secondary","no",1013,"no","no","cellular",15,"sep",170,1,92,3,"failure","yes"
10060,56,"blue-collar","married","primary","no",2765,"no","no","cellular",13,"apr",222,3,-1,0,"unknown","no"
10061,31,"services","married","secondary","no",525,"yes","yes","unknown",21,"may",159,1,-1,0,"unknown","no"
10062,34,"management","married","tertiary","no",697,"no","no","cellular",5,"aug",166,1,-1,0,"unknown","no"
10063,30,"technician","divorced","secondary","no",3100,"yes","no","unknown",21,"may",154,4,-1,0,"unknown","no"
10064,43,"admin.","single","secondary","no",2539,"yes","no","unknown",16,"may",529,4,-1,0,"unknown","no"
10065,33,"services","divorced","secondary","no",437,"yes","no","cellular",15,"jul",184,2,-1,0,"unknown","no"
10066,33,"unemployed","divorced","secondary","no",1005,"yes","no","telephone",10,"nov",175,1,174,2,"failure","no"
10067,44,"technician","divorced","secondary","no",0,"yes","no","cellular",28,"jul",463,2,-1,0,"unknown","no"
10068,41,"blue-collar","married","primary","yes",76,"no","yes","cellular",10,"jul",439,1,-1,0,"unknown","no"
10069,53,"blue-collar","married","secondary","no",-711,"yes","no","unknown",2,"jun",198,1,-1,0,"unknown","no"
10070,42,"blue-collar","married","secondary","no",179,"yes","no","cellular",17,"nov",96,1,-1,0,"unknown","no"
10071,41,"admin.","divorced","secondary","no",110,"yes","yes","cellular",5,"feb",76,2,-1,0,"unknown","no"
10072,42,"technician","married","secondary","no",29,"no","no","cellular",28,"aug",53,11,-1,0,"unknown","no"
10073,57,"technician","married","secondary","no",363,"no","no","cellular",25,"jun",195,6,-1,0,"unknown","no"
10074,35,"services","married","tertiary","no",0,"yes","no","unknown",2,"jun",312,2,-1,0,"unknown","no"
10075,33,"blue-collar","single","secondary","no",5739,"yes","yes","cellular",21,"nov",374,1,-1,0,"unknown","no"
10076,41,"management","single","tertiary","no",195,"no","no","unknown",6,"jun",341,2,-1,0,"unknown","no"
10077,47,"management","single","tertiary","no",440,"no","no","cellular",21,"aug",71,4,-1,0,"unknown","no"
10078,28,"admin.","single","secondary","no",4745,"no","no","telephone",12,"may",360,1,181,5,"success","yes"
10079,31,"technician","single","secondary","no",23,"no","no","cellular",28,"aug",110,2,-1,0,"unknown","no"
10080,45,"admin.","married","secondary","no",129,"yes","no","cellular",2,"mar",145,1,-1,0,"unknown","no"
10081,49,"blue-collar","married","secondary","no",203,"no","no","unknown",4,"jun",167,1,-1,0,"unknown","no"
10082,56,"blue-collar","married","secondary","no",-382,"yes","no","unknown",15,"may",278,4,-1,0,"unknown","no"
10083,41,"blue-collar","single","secondary","no",428,"yes","no","cellular",12,"may",92,1,-1,0,"unknown","no"
10084,23,"technician","single","secondary","no",283,"yes","no","cellular",22,"sep",175,1,184,2,"success","yes"
10085,39,"management","married","tertiary","no",8195,"no","no","cellular",5,"aug",121,3,-1,0,"unknown","no"
10086,34,"blue-collar","married","primary","no",358,"yes","no","unknown",23,"may",100,4,-1,0,"unknown","no"
10087,50,"technician","married","secondary","no",389,"yes","no","unknown",8,"may",110,1,-1,0,"unknown","no"
10088,30,"blue-collar","single","secondary","no",239,"yes","no","unknown",23,"may",785,1,-1,0,"unknown","yes"
10089,50,"blue-collar","married","primary","no",71,"yes","no","unknown",6,"may",678,1,-1,0,"unknown","no"
10090,31,"technician","married","secondary","no",439,"no","no","unknown",4,"oct",5,1,-1,0,"unknown","no"
10091,56,"blue-collar","married","unknown","no",665,"yes","no","unknown",20,"jun",109,2,-1,0,"unknown","no"
10092,30,"technician","single","secondary","no",768,"no","yes","unknown",14,"may",749,2,-1,0,"unknown","no"
10093,67,"retired","married","primary","no",585,"no","no","cellular",12,"jan",164,1,148,1,"failure","no"
10094,65,"management","married","unknown","no",2352,"no","no","cellular",8,"nov",354,3,188,13,"success","no"
10095,29,"blue-collar","married","secondary","no",832,"yes","no","unknown",16,"may",228,2,-1,0,"unknown","no"
10096,30,"housemaid","married","tertiary","no",113,"yes","yes","cellular",3,"feb",230,3,-1,0,"unknown","no"
10097,57,"unemployed","married","primary","no",3367,"no","no","telephone",21,"nov",126,1,-1,0,"unknown","no"
10098,30,"entrepreneur","married","secondary","no",31,"no","no","unknown",8,"may",229,1,-1,0,"unknown","no"
10099,41,"unknown","married","primary","no",526,"no","no","unknown",26,"may",151,3,-1,0,"unknown","no"
10100,34,"blue-collar","single","secondary","no",1848,"yes","no","unknown",5,"jun",131,10,-1,0,"unknown","no"
10101,47,"services","married","primary","no",6,"no","no","cellular",27,"aug",63,4,-1,0,"unknown","no"
10102,50,"technician","married","secondary","no",-568,"yes","yes","unknown",28,"may",860,2,-1,0,"unknown","no"
10103,32,"technician","single","secondary","no",0,"yes","no","cellular",12,"may",61,4,-1,0,"unknown","no"
10104,33,"technician","single","secondary","no",647,"yes","yes","cellular",4,"feb",124,1,273,1,"other","no"
10105,59,"management","married","tertiary","no",1881,"no","no","cellular",19,"nov",456,2,-1,0,"unknown","no"
10106,59,"admin.","divorced","secondary","no",975,"yes","no","unknown",15,"may",263,4,-1,0,"unknown","no"
10107,26,"blue-collar","married","primary","no",256,"yes","no","cellular",18,"jul",169,2,-1,0,"unknown","no"
10108,33,"management","married","tertiary","no",4570,"no","no","cellular",22,"aug",1258,2,-1,0,"unknown","yes"
10109,30,"admin.","single","secondary","no",1027,"yes","no","cellular",27,"may",136,2,114,1,"success","no"
10110,47,"admin.","married","secondary","no",70,"yes","no","cellular",5,"apr",144,4,374,2,"success","yes"
10111,33,"admin.","married","secondary","no",95,"yes","no","cellular",30,"apr",335,1,-1,0,"unknown","yes"
10112,26,"entrepreneur","single","secondary","no",101,"yes","no","unknown",13,"may",723,1,-1,0,"unknown","no"
10113,59,"management","married","tertiary","no",287,"yes","no","cellular",20,"apr",818,2,242,8,"failure","no"
10114,32,"blue-collar","married","primary","no",1287,"yes","no","cellular",14,"apr",297,2,-1,0,"unknown","no"
10115,47,"technician","married","secondary","no",83,"yes","no","unknown",6,"may",179,2,-1,0,"unknown","no"
10116,59,"retired","married","secondary","no",417,"yes","no","cellular",7,"may",476,2,-1,0,"unknown","no"
10117,31,"technician","married","secondary","no",172,"no","no","cellular",8,"aug",151,2,-1,0,"unknown","no"
10118,33,"services","married","secondary","no",554,"yes","no","cellular",29,"jan",162,2,258,1,"other","no"
10119,40,"technician","single","tertiary","no",226,"no","no","cellular",15,"jan",176,2,-1,0,"unknown","no"
10120,27,"admin.","divorced","secondary","no",451,"yes","no","cellular",16,"jul",652,1,-1,0,"unknown","yes"
10121,37,"blue-collar","married","secondary","no",342,"yes","no","cellular",12,"may",340,2,175,1,"failure","no"
10122,31,"services","single","secondary","no",-32,"yes","no","unknown",23,"may",157,1,-1,0,"unknown","no"
10123,47,"management","married","tertiary","no",260,"no","yes","cellular",8,"aug",138,2,-1,0,"unknown","no"
10124,40,"blue-collar","single","unknown","no",24,"yes","no","unknown",5,"may",185,1,-1,0,"unknown","no"
10125,34,"technician","single","secondary","no",513,"yes","no","cellular",5,"may",165,3,169,5,"other","no"
10126,39,"unknown","married","secondary","no",1701,"no","no","unknown",6,"jun",140,1,-1,0,"unknown","no"
10127,51,"services","married","secondary","no",272,"no","yes","cellular",8,"jul",217,1,-1,0,"unknown","no"
10128,49,"technician","married","secondary","no",808,"yes","no","cellular",28,"jan",1232,1,-1,0,"unknown","yes"
10129,49,"management","divorced","tertiary","no",20727,"no","no","cellular",1,"apr",285,3,132,2,"failure","no"
10130,31,"blue-collar","married","secondary","no",1545,"yes","yes","cellular",13,"may",207,1,-1,0,"unknown","no"
10131,32,"admin.","single","secondary","no",-267,"no","yes","cellular",7,"jul",98,1,-1,0,"unknown","no"
